zipcode,percentage_asian,percentage_black,percentage_two_or_more,percentage_white,percentage_other
20151,0.24672131147540985,0.06894353369763206,0.02668488160291439,0.58816029143898,0.06785063752276867
79231,0.0,0.0,0.0,0.9545454545454546,0.0
20152,0.29611528371725304,0.061379235993818955,0.05695906853056384,0.5730765084270673,0.00833722643475761
58079,0.0,0.0,0.0,0.9982332155477032,0.0
58078,0.017647673082947544,0.0370705558842981,0.02266002993490898,0.9094991123951408,0.0032023390998642486
58075,0.00883880234228262,0.005634736493205171,0.017456634626008175,0.9301734614959672,0.012484808308474201
20155,0.1061428125974431,0.1113501714998441,0.05896476457748675,0.707452447770502,0.013938260056127222
58077,0.0,0.0,0.0,0.9984202211690363,0.0
58076,0.008695652173913044,0.11884057971014493,0.002898550724637681,0.863768115942029,0.0
58071,0.0,0.0,0.0,0.9973753280839895,0.0
58072,0.022034109299141045,0.008216108552222084,0.011203784389393751,0.9411178887090751,0.010954811402962778
62360,0.0,0.015888778550148957,0.0,0.9836146971201589,0.0
20158,0.016202049082678104,0.02668572790088158,0.015725518227305217,0.8946866809625923,0.04646175839885633
54542,0.0,0.018779342723004695,0.0,0.9460093896713615,0.0
34609,0.018906950226724298,0.046458592983479624,0.03611678290154066,0.8687650818063695,0.026490944286812868
13052,0.016036655211912942,0.024054982817869417,0.011454753722794959,0.9455899198167239,0.0
13053,0.009103641456582634,0.011904761904761904,0.021942110177404293,0.9568160597572363,0.0
13051,0.0,0.0,0.0,0.9923076923076923,0.0
13057,0.018215562276601593,0.031550728622491066,0.014091284025295574,0.9263816332141875,0.005430299697552928
13054,0.0,0.0,0.0,0.9993493819128172,0.0
54170,0.0,0.0005617977528089888,0.0053370786516853935,0.9665730337078652,0.023876404494382022
54171,0.0014326647564469914,0.0017191977077363897,0.0,0.9954154727793696,0.0
54173,0.0,0.003183868400106129,0.0002653223666755107,0.9962854868665428,0.0
54174,0.0,0.0,0.018629173989455183,0.9086115992970123,0.00070298769771529
54175,0.0,0.0,0.0,0.9979695431472081,0.0
54177,0.004564606741573034,0.001053370786516854,0.01228932584269663,0.9719101123595506,0.0
94541,0.13390395129026603,0.13345765791612874,0.06614705366677824,0.501872838266469,0.14120403576722612
94542,0.21713737098967917,0.12753020241619328,0.09032722617809424,0.4359548763901112,0.11128890311224898
62089,0.0,0.0,0.0,0.9973821989528796,0.0
62088,0.0,0.0008827423863469177,0.01618361041636016,0.9827865234662351,0.0
94547,0.4369491938431548,0.18003492669455387,0.07659505340535272,0.27108800714778863,0.026763595012792917
94546,0.1838247140325439,0.06628460954222191,0.051807866694285255,0.6442035489884692,0.038919192616630995
62085,0.0,0.0,0.05291005291005291,0.9417989417989417,0.0
62084,0.0,0.004524886877828055,0.011635423400129283,0.9831932773109243,0.0
